Título,Código,Preço com Desconto,Preço Sem Desconto,Promoção,Descrição,Marca
SORO FISIOLÓGICO ADV 500ML,cod. do produto: 58008,"R$ 4,60","R$ 5,90",22%,"Soro Fisiológico ADV é uma solução de cloreto de sódio a 0,9%, indicada para limpeza de lentes de contato e áreas sensíveis do corpo. É recomendado também na lavagem e irrigação de ferimentos",
SORO FISIOLÓGICO ADV 100ML,cod. do produto: 58006,"R$ 2,55","R$ 2,90",12%,"SORO FISIOLÓGICO ADV 100ML em condições especiais é no Drogão Super!
Soro fisiologico, ideal para inalações e limpeza de lentes de contato.
Empregado de forma isolada ou associada a outros medicamentos para nebulização (vaporização das vias aéreas e pulmões).
Lavagem e irrigação de ferimentos nos curativos, sendo o único agente de limpeza totalmente.",
SUPLEMENTO ALIMENTAR NUTREN SENIOR SEM SABOR 740G,cod. do produto: 45116,"R$ 149,64","R$ 168,70",11%,"Nutren Senior é o suplemento nutricional da Nestlé desenvolvido pensando nas necessidades de quem já passou dos 50 anos e ainda tem muito o que aproveitar. Contém ACT-3, combinação única de cálcio, proteína e vitmina D, além de fornecer outras vitaminas.",
DESODORANTE ANTITRANSPIRANTE AEROSOL DOVE ORIGINAL 48H,cod. do produto: 4491,"R$ 12,84","R$ 17,90",28%,"Pensando no bem estar e cuidado com a pele das mulheres, o desodorante Antitranspirante Dove Original Aerosol tem ¼ de creme hidratante e vitaminas E e F para deixar suas axilas sempre macias. Em apenas 5 dias de uso você poderá notar a diferença de uma pele mais hidratada e recuperada das agressões da depilação.",Unilever
ABSORVENTE INTIMUS NOTURNO SUAVE COM ABAS 30 un,cod. do produto: 52798,"R$ 21,52","R$ 25,70",16%,"O que é: O Absorvente Intimus Noturno Suave com Abas é um produto de higiene íntima externo utilizado durante a menstruação. A sua função é absorver o sangue eliminado pela menstruação, evitando que este manche as roupas e assim cause constrangimentos.",Kimberly-Clark
ÁGUA OXIGENADA  ADV 10 VOLUMES 100ML,cod. do produto: 57988,"R$ 2,84","R$ 3,40",16%,"ÁGUA OXIGENADA  ADV 10 VOLUMES 100ML em condições especiais é no Drogão Super!
Água oxigenada cremosa adv foi desenvolvida especialmente pela tayuyna para descoloração dos fios capilares e também ajuda na oxidação nos processos de coloração.",
DESODORANTE AEROSOL REXONA MEN ACTIVE 90G,cod. do produto: 4354,"R$ 10,20","R$ 15,90",36%,"DESODORANTE AEROSOL REXONA MEN ACTIVE 90G em condições especiais é no Drogão Super!
O desodorante aerosol rexona men active, conta com microcápsulas inteligentes motionsense, que forma uma camada protetora na axila e ao longo do dia com o atrito na região aplicada as cápsulas se rompem proporcionando maior proteção.
O Desodorante aerosol rexona men active possui fragrância que proporciona agradável sensação de frescor.
Garante conforto e proteção seca por até 48 horas.
Quanto mais você se movimenta, mais ele te protege.",Unilever
ANTISSÉPTICO KURAMED 50ML,cod. do produto: 42108,"R$ 10,86","R$ 23,00",53%,Kuramed Sept é uma solução tópica com função antisséptica e anestésica. Pode ser utilizado para ferimentos e cortes superficiais.,
KIT CREME DENTAL COLGATE LUMINOUS WHITE 3 UNIDADES + ENXAGUANTE BUCAL LUMINUS,cod. do produto: 40128,"R$ 19,94","R$ 24,60",19%,"KIT CREME DENTAL COLGATE LUMINOUS WHITE 3 UNIDADES + ENXAGUANTE BUCAL LUMINUS em condições especiais é no Drogão Super!
O creme dental colgate luminous white é composto por microcristais aceleradores de branqueamento que ajudam a manter o seu sorriso mais branco e brilhante.
Sua fórmula exclusiva contém peróxido de hidrogênio, o mesmo princípio ativo que é utilizado pelos dentistas em tratamentos para o clareamento no consultório.
O creme dental luminous white, deixa seu sorriso mais branco e brilhante.
Na compra de 3 unidades, grátis enxaguante bucal luminous white 250 ml, que ajuda a manter o branco dos dentes e mantém o hálito fresco.
Além disso, possui um sistema seguro de anti-manchas e previne a formação de tártaro.",Colgate-Palmolive
DESODORANTE AEROSOL REXONA WOMEN POWDER 90G,cod. do produto: 48080,"R$ 10,20","R$ 15,90",36%,"O Desodorante Antitranspirante Aerosol Rexona Women Powder proporciona 48 horas de proteção contra a transpiração e o mau odor, deixando você confiante do primeiro ao último passo.
Sua fragrncia delicada e feminina contém uma rica combinação de jasmin e baunilha para que você se sinta seca e protegida por mais tempo.
Com a exclusiva tecnologia MotionSense: proteção para te manter em movimento.",Unilever
Desodorante Feminino Rexona Clinical Extra Dry Aerosol 150ml,cod. do produto: 51318,"R$ 11,12","R$ 15,90",30%,"O Desodorante Feminino Rexona Clinical Aerosol 150ml proporciona 3X mais proteção que um antitranspirante comum. Com a inovadora fórmula termo-ativa e exclusiva tecnologia Defense+, se adapta ao organismo, ajudando a prevenir a transpiração e o mau odor.",Unilever
