farmacia,cidade,nome,preco_com_desconto,preco_sem_desconto,desconto,marca,sku,descricao
Época Cosméticos,São Paulo,Sabonete Cicatrizante Óleos da Amazônia - 100g,36.0,,,Ekilibre,Cod: MP185082,"Sabonete Cicatrizante Óleos da AmazôniaO Sabonete Força da Amazônia Ekilibre é um produto de super performance, 100% natural, vegano, orgânico e sustentável. A super performance é decorrente do uso de bioativos em sua composição que são encontrados somente na Amazônia. A versão “força da Amazônia” é ideal pessoas que possuem a pele ligeiramente danificada, pois possui grande poder de limpeza e de auxiliar na cicatrização de pequenos e invisíveis desgastes. Pode ser usado por pessoas de qualquer idade.A fragrância desse sabonete tem personalidade forte, visto que se origina da combinação de seis componentes naturais, sendo três deles óleos vegetais “extra virgens”. Por conta disso, pode ser utilizado ambientes de natureza como mar, rios e cachoeiras, sem que sua espuma agrida a flora e a fauna aquáticas. Pode ser utilizado em pet´s, sem qualquer risco de irritações epidérmicas decorrentes da ação de produtos químicos artificias presentes em shampoos ou condicionares."
Época Cosméticos,São Paulo,Kit Wella Professionals Nutricurls Salon Trio (3 Produtos),589.9,959.9,0.38545681841858526,Wella Professionals,Cod: MP6317,"Kit Wella Professionals Nutricurls Salon Trio (3 Produtos)Kit de tratamento diário para cabelos ondulados e cacheados. Kit Wella Professionals Nutricurls Salon Trio é ideal para cabelos ondulados e cacheados. Define as ondas com perfeição e combatendo o frizz. O Kit Wella Professionals Nutricurls Salon Trio conta com uma nutrição profunda aosfios, além de possui ação antifrizz. Assim, as curvas ficam macias, com movimento e com o formato bem marcado. Higienização suave e sem ressecar os fios, deixando uma sensação de frescor. Contém: Wella Professionals Nutricurls - Shampoo 1 Litro: possui tecnologia micelar que limpa sem retirar a oleosidade natural e ainda mantém o nível certo de hidratação e nutrição. Wella Professionals Nutricurls - Condicionador 1 Litro: nutre, condiciona, facilita o desembaraçar e define. Possui ação antifrizz e proporciona muita maciez. Wella Professionals Nutricurls - Máscara de Nutrição 150ml: condiciona, nutre profundamente e suaviza a fibra para dar toque sedoso, definição e movimento."
Época Cosméticos,São Paulo,Joico K-PAK Color Therapy Trio (3 Produtos),475.9,899.9,0.47116346260695635,Joico,Cod: MP25189,"Joico K-PAK Color Therapy Trio (3 Produtos)Kit de tratamento para cabelos coloridos. Kit Joico K-PAK Color Therapy Trio promove tratamento intensivo para garantir cor vibrante, protegida e duradoura.  O Kit Joico K-PAK Color Therapy Trio conta com fórmula que limpa suavemente, hidrata, nutre, auxilia na proteção da cor e restauração dos fios, além de proporcionar brilho intenso, melhorar a elasticidade e deixar os fios mais fortes. Contém Joico K-PAK Color Therapy - Shampoo 300ml: limpa suavemente, auxilia na proteção da cor e restauração dos fios. Joico K-PAK Color Therapy - Condicionador 250ml: reverte os danos causados pelo tempo, protege a cor e ilumina, hidrata e condiciona intensamente, além de garantir maleabilidade, força e elasticidade. Joico K-PAK Color Therapy Luster Lock - Máscara Capilar 140ml: máscara de tratamento profundo e instantâneo para cabelos coloridos. Nutre, repara, hidrata e protege a cor dos cabelos, além de garantir brilho intenso."
Época Cosméticos,São Paulo,L'ARRËE Color Coloração Permanente 0.1 Corretor Cinza 60g,23.99,,,L’arrëe,Cod: MP114111,"L'ARRËE Color Coloração Permanente 0.1 Corretor Cinza 60gL'ARRËE Color Coloração Permanente 0.1 Corretor Cinza 60gUSO EXCLUSIVO PARA PROFISSIONAIS DA ÁREAFinalidade: Coloração permanente profissional L'ARRËE COLOR é cremosa e hidratante. Sua fórmula foi elaborada com perfeita combinação de micropigmentos, D-Pantenol, Algas Marinhas, Sericina e Macadâmia. Proporciona brilho intenso, cobertura total dos fios brancos, proteção e blindagem da cor, resultado em cores intensas, vibrantes, duradouras e cabelos exuberantes.Composição: Aqua, ceteareth-20, polysorbate 80, ammonium hydroxide, cetearyl alcohol, butylene glycol, cetrimonium chloride, tetrasodium Edta, amodimethicone, parfun: hydroxy-methylpentylclohexenecarboxaldehyde, hexyl cinnam-aldehyde, d-limonen, alpha-isomethyl ionone, oleic acid, oleyl alcohol, glyceryl stearate Se, behentrimonium chloride, sodium erythorbate, ethanolamine, sodium sulfite, algae extract, hydrolyzed keratin, panthenol, aloe barbadenis extract, argania spinosa kernel oil, macadamia ternifolia seed oil, aloe barbadensis extract, sericin.Pode conter: resorcinol, 2-methylresorcinol, 5-amino-6-chloro-o-cesol, p-methylaminophenol sulfate, toluene-2,5 - diamine sulfate, p - phenylenediamine, n, n-bis (2-hydroxyethyl) - P - phenylenediamine sulfate, 2-methyl-5-hydroxyethylaminophenol, 4-amino-2-hydroxytoluene, 2,4-diamionophenoxyethanol hcl, p-aminophenol, m-aminophenol, 4-amino-m-cresol, 1-hydroxyethyl 4,5-diamino pyrazole sulfate, basic yellow 87, 6-amino-m-cresol, 6-amino-o-cresol, basic orange 31, basic red 51.Contém: Fenilenodiaminas, diaminofenoles, Resorcinol, diaminobecenos, metilfenilendiaminas, diaminotoluenos e amoníaco.Teste de contato/aplicação: Ver parte interna da embalagem.Importante: Este produto pode causar reação alérgica que, em alguns casos raros, pode ser grave. Para a segurança de sua cliente são indispensáveis as seguintes precauções:- Usar Luvas adequadas, de preferência descartáveis, na preparação, aplicação e enxágue do produto.- Não aplicar se, a sua cliente já apresentou alguma reação alérgica a um produto de coloração ou se estiver com o couro cabeludo irritado ou lesionado.- Em caso de tatuagem. Os risco de alergia podem aumentar.- Fazer imperativamente um teste de alergia cutânea 24 horas antes de cada aplicação desde produto.Precauções: Este produto deve ser usado somente a finalidade a que se destina, sendo perigoso qualquer outro uso. Pode causar reações alérgicas.CUIDADOS: Contém substâncias passivas de causar irritação na pele de determinadas pessoas. Antes de usar faça o teste de contato ( teste de sensibilidade). Não usar em cílios, sobrancelhas e buço. A aplicação direta nas sobrancelhas ou nos cílios pode ocasionar irritação nos olhos ou cegueira. Não aplicar no couro cabeludo apresentar lesões ou irritações. Caso o produto caia nos olhos, lave-os imediatamente com água em abundância e, se necessário, busque orientação médica. Usar luvas adequadas. Não é recomendado o uso desse produto em mulheres grávidas e crianças. Enxaguar bem o cabelo logo após a aplicação.Número de Processo na ANVISA: 25351.237126/2015-49."
Época Cosméticos,São Paulo,Essence Liquid Ink Waterproof - Delineador Líquido 3ml,26.9,29.9,0.10033444816053512,Essence,Cod: 56546,"Essence Liquid Ink WaterproofDelineador líquido à prova d’água. Essence Liquid Ink Eyeliner Waterproof garante precisão na criação de traços impecáveis, que destacam incrivelmente o olhar.Essence Liquid Ink Eyeliner Waterproof possui ponta fina que oferece mais versatilidade ao fazer seu delineado predileto. Possui fórmula na cor preta ideal para qualquer situação, já que você pode se exercitar ou se emocionar que ela não borra."
Época Cosméticos,São Paulo,KIT Paul Mitchell Clarifying Two (02 Produtos),270.9,,,Paul Mitchell,Cod: MP92192,"KIT Paul Mitchell Clarifying Two (02 Produtos)KIT Paul Mitchell Clarifying Two (02 Produtos)Shampoo de limpeza profunda para cabelos com raiz oleosa. Dá brilho e não resseca os fios. O Shampoo Paul Mitchell Two retira os resíduos dos fios, de maneira suave, ideal para o uso diário.Ele é indicado para cabelos com raiz oleosa, com ou sem química. O Shampoo Two pode ser combinado com Condicionador Original The Detangler para um cuidado completo e profundo dos fios. Como Usar:Molhe bem o cabelo. Aplique uma pequena quantidade do produto e massageie o cabelo e o couro cabeludo. Enxágue bem. Repita a operação se desejar."
Época Cosméticos,São Paulo,Kit Braé Go Curly + Divine Plume Sensation Salon (2 Produtos),230.9,379.9,0.39220847591471436,Braé,Cod: MP53155,"Kit Braé Go Curly + Divine Plume Sensation Salon (2 Produtos)Kit com sérum e máscara para cabelos cacheados ou ondulados.  Braé Go Curly + Plume Sensation Salon proporciona cachos definidos e controle do frizz.Kit Braé Go Curly + Plume Sensation Salon possui uma associação equilibrada de ingredientes que permite a ação profunda e multifuncional nos cabelos cacheados e ondulados. Não possui silicones, petrolatos, parabenos e pode ser classificado como método Low Poo.Contém:Braé Go Curly - Máscara Capilar 500g: conta com uma potente e inovadora combinação de ativos, trazendo hidratação imediata e de alto desempenho aos fios.Braé Divine Plume Sensation - Sérum Reparador Capilar 60ml: para todos os tipos de cabelo, nutre e combate danos como o frizz e as pontas duplas. "
Época Cosméticos,São Paulo,Keune Tinta Color Ultimate Blonde Especial Louro Pérola Dourado 1032- Coloração 60ml,72.9,139.9,0.4789135096497498,Keune,Cod: MP195892,"Keune Tinta Color Ultimate Blonde  Especial Louro Pérola Dourado 1032- Coloração 60mlKeune Tinta Color Ultimate Blonde  Especial Louro Pérola Dourado 1032- Coloração 60ml   Conta com uma fórmula enriquecida com cocamida mea, que é um derivado do Óleo de Coco, que é responsável por condicionar os cabelos, impedindo que a coloração manche a pele e o couro cabeludo. Além disso, cobre até 100% dos fios brancos, possui baixo teor de amônia e é totalmente livre de PPD, que é o grande causador de alergias, apresentando baixa incidência de reações alérgicas, e uma textura perolizada inconfundível.   Conselho de Aplicação Aplique a mistura sobre nos cabelos secos, iniciando pela raiz e indo até as pontas. Deixe agir por 40 minutos e, se seus cabelos são muito brancos ou difíceis de absorver, deixe agir por mais 5 minutos. Enxágue nos cabelos com bastante água até que a Tintura Individual seja totalmente eliminada."
Época Cosméticos,São Paulo,Kanitz Rosa Branca - Sabonete Líquido 400ml,24.99,,,Kanitz,Cod: MP53090,"Kanitz Rosa BrancaSabonete líquido. Kanitz Rosa Branca promove agradável sensação de limpeza, maciez na pele e o suave perfume das rosas.O Sabonete Líquido Kanitz Rosa Branca deixa a pele macia e hidratada com um delicado perfume de rosas. Com Glicerina Vegetal, retém a umidade natural da pele, auxiliando em sua proteção e hidratação. Seu pH fisiológico mantém o equilíbrio natural da pele. "
Época Cosméticos,São Paulo,BeautyColor Argan & Coco 5.3 Castanho Claro Dourado - Coloração Permanente 45g,17.37,,,BeautyColor,Cod: MP40758,"BeautyColor Argan & Coco 5.3 Castanho Claro DouradoColoração permanente para todos os tipos de cabelo. BeautyColor Argan & Coco nutre e hidrata, além de colorir os fios.A Coloração Permanente BeautyColor Argan & Coco possui uma fórmula com intensas propriedades nutritivas, rica em aminoácidos essenciais e proteínas vegetais, associados a um blend de óleos essenciais. Além de cobrir totalmente as madeixas, restaura a fibra capilar e restabelece o equilíbrio hídrico nos cabelos, promovendo cores vibrantes, com brilho extremo e muita maciez."
